Name,Position,Age,Nationality
Nélson Semedo,Right Back,26,Portugal
Luis Suarez,Forward,32,Uruguay
Marc-Andre ter Stegen,Goalkeeper,27,Germany
Gerard Pique,Centre Back,31,Spain
Jordi Alba,Left Back,30,Spain
Sergi Busquets,Defensive Midfielder,31,Spain
Sergi Roberto,Right Back,26,Spain
Lionel Messi,Right Wing,32,Argentina
Rafinha,Centre Midfielder,25,Spain
Ivan Rakitic,Centre Midfielder,30,Croatia
Neto,Goalkeeper,30,Brazil
Samuel Umtiti,Centre Back,25,France
Antoine Griezmann,Forward,28,France
Arturo Vidal,Centre Midfielder,32,Chile
Ousmane Dembélé,Forward,22,France
Carles Aleñá,Centre Midfielder,20,Spain
Arthur,Centre Midfielder,22,Brazil
Clément Lenglet,Centre Back,24,France
Ernesto Valverde,Manager,54,Spain
Jean-Clair Todibo,Centre Back,20,France
Frenkie de Jong,Centre Midfielder,21,Netherlands
Junior Firpo,Left Back,23,Spain
Moussa Wagué,Right Back,20,Senegal
David Concha,Forward,23,Spain
Jean Mario Dongou,Forward,24,Cameroon
Name,Position,Age,Nationality
Nélson Semedo,Right Back,26,Portugal
Luis Suarez,Forward,32,Uruguay
Marc-Andre ter Stegen,Goalkeeper,27,Germany
Gerard Pique,Centre Back,31,Spain
Jordi Alba,Left Back,30,Spain
Sergi Busquets,Defensive Midfielder,31,Spain
Sergi Roberto,Right Back,26,Spain
Lionel Messi,Right Wing,32,Argentina
Rafinha,Centre Midfielder,25,Spain
Ivan Rakitic,Centre Midfielder,30,Croatia
Neto,Goalkeeper,30,Brazil
Samuel Umtiti,Centre Back,25,France
Antoine Griezmann,Forward,28,France
Arturo Vidal,Centre Midfielder,32,Chile
Ousmane Dembélé,Forward,22,France
Carles Aleñá,Centre Midfielder,20,Spain
Arthur,Centre Midfielder,22,Brazil
Clément Lenglet,Centre Back,24,France
Ernesto Valverde,Manager,54,Spain
Jean-Clair Todibo,Centre Back,20,France
Frenkie de Jong,Centre Midfielder,21,Netherlands
Junior Firpo,Left Back,23,Spain
Moussa Wagué,Right Back,20,Senegal
David Concha,Forward,23,Spain
Jean Mario Dongou,Forward,24,Cameroon
Name,Position,Age,Nationality
Nélson Semedo,Right Back,26,Portugal
Luis Suarez,Forward,32,Uruguay
Marc-Andre ter Stegen,Goalkeeper,27,Germany
Gerard Pique,Centre Back,31,Spain
Jordi Alba,Left Back,30,Spain
Sergi Busquets,Defensive Midfielder,31,Spain
Sergi Roberto,Right Back,26,Spain
Lionel Messi,Right Wing,32,Argentina
Rafinha,Centre Midfielder,25,Spain
Ivan Rakitic,Centre Midfielder,30,Croatia
Neto,Goalkeeper,30,Brazil
Samuel Umtiti,Centre Back,25,France
Antoine Griezmann,Forward,28,France
Arturo Vidal,Centre Midfielder,32,Chile
Ousmane Dembélé,Forward,22,France
Carles Aleñá,Centre Midfielder,20,Spain
Arthur,Centre Midfielder,22,Brazil
Clément Lenglet,Centre Back,24,France
Ernesto Valverde,Manager,54,Spain
Jean-Clair Todibo,Centre Back,20,France
Frenkie de Jong,Centre Midfielder,21,Netherlands
Junior Firpo,Left Back,23,Spain
Moussa Wagué,Right Back,20,Senegal
David Concha,Forward,23,Spain
Jean Mario Dongou,Forward,24,Cameroon
