Name,Position,Age,Nationality
Eden Hazard,Left Wing,27,Belgium
Thibaut Courtois,Goalkeeper,26,Belgium
James Rodriguez,Attacking Midfielder,27,Colombia
Toni Kroos,Midfielder,28,Germany
Raphael Varane,Centre Back,26,France
Sergio Ramos,Centre Back,33,Spain
Marcelo,Left Back,30,Brazil
Daniel Carvajal,Right Back,26,Spain
Nacho Fernandez,Defender,29,Spain
Gareth Bale,Winger,30,Wales
Luka Modric,Midfielder,33,Croatia
Isco,Midfielder,27,Spain
Karim Benzema,Forward,32,France
Casemiro,Midfielder,27,Brazil
Éder Militão,Centre Back,21,Brazil
Ferland Mendy,Left Back,23,France
Lucas Vazquez,Right Wing,27,Spain
Alphonse Areola,Goalkeeper,26,France
Marco Asensio,Left Wing,23,Spain
Zinedine Zidane,Manager,47,France
Mariano,Forward,25,Dominican Republic
Vinícius Júnior,Left Wing,18,Brazil
Álvaro Odriozola,Defender,24,Spain
Brahim Díaz,Attacking Midfielder,19,Spain
Luka Jovic,Forward,22,Serbia
Name,Position,Age,Nationality
Eden Hazard,Left Wing,27,Belgium
Thibaut Courtois,Goalkeeper,26,Belgium
James Rodriguez,Attacking Midfielder,27,Colombia
Toni Kroos,Midfielder,28,Germany
Raphael Varane,Centre Back,26,France
Sergio Ramos,Centre Back,33,Spain
Marcelo,Left Back,30,Brazil
Daniel Carvajal,Right Back,26,Spain
Nacho Fernandez,Defender,29,Spain
Gareth Bale,Winger,30,Wales
Luka Modric,Midfielder,33,Croatia
Isco,Midfielder,27,Spain
Karim Benzema,Forward,32,France
Casemiro,Midfielder,27,Brazil
Éder Militão,Centre Back,21,Brazil
Ferland Mendy,Left Back,23,France
Lucas Vazquez,Right Wing,27,Spain
Alphonse Areola,Goalkeeper,26,France
Marco Asensio,Left Wing,23,Spain
Zinedine Zidane,Manager,47,France
Mariano,Forward,25,Dominican Republic
Vinícius Júnior,Left Wing,18,Brazil
Álvaro Odriozola,Defender,24,Spain
Brahim Díaz,Attacking Midfielder,19,Spain
Luka Jovic,Forward,22,Serbia
